mood_total_length,clip_total_length,length_ratio,mood_mean_direction_change,mood_max_direction_change,mood_direction_change_sum,mood_direction_change_std,clip_mean_direction_change,clip_max_direction_change,clip_direction_change_sum,num_segments,interpolation_steps,mood_cumulative_lengths,clip_cumulative_lengths,mood_direction_profile,clip_direction_profile,used_cluster_correspondence,pair,left_path,right_path,training_steps,z_length_ratio,z_mood_mean_direction_change,creativity_score,rank_creativity,rank_length_ratio,rank_mood_mean_direction,rank_mood_direction_sum
887.7928466796875,381.80426025390625,2.325256523039555,25.676912307739258,36.203887939453125,487.861328125,4.2165937423706055,0.02028760313987732,0.02797645330429077,0.38546445965766907,20,21,"[  0.          24.95286369  51.77227783  81.22845459 113.53730774
 148.38925171 185.71905518 225.4203949  267.52166748 311.12435913
 355.6328125  400.83544922 447.24517822 494.95776367 544.29180908
 596.56860352 653.13470459 714.20123291 777.73809814 837.30316162
 887.79284668]","[  0.          19.09021378  38.18042755  57.27064514  76.3608551
  95.45106506 114.54128265 133.63148499 152.72171021 171.81192017
 190.90214539 209.99237061 229.08259583 248.17279053 267.26300049
 286.35321045 305.44342041 324.53363037 343.62384033 362.71405029
 381.80426025]","[19.474333 19.36797  19.408184 20.248476 22.020956 23.009417 24.391802
 24.83792  25.91113  26.934729 28.206455 28.006708 28.874199 28.623774
 28.141582 27.464909 27.660286 29.074604 36.203888]","[0.         0.01978234 0.01978234 0.01978234 0.         0.01978234
 0.02797645 0.02797645 0.01978234 0.02797645 0.02797645 0.01978234
 0.01978234 0.01978234 0.02797645 0.02797645 0.01978234 0.01978234
 0.01978234]",False,00031,images/creativity/left/00031.jpg,images/creativity/right/00031.jpg,1000,3.0209105326163725,2.618447702171025,5.639358234787398,2,2,2,2
778.4617919921875,364.9117126464844,2.133288039308122,24.750640869140625,31.782981872558594,470.2621765136719,3.4988768100738525,0.003986065741628408,0.02797645330429077,0.07573524862527847,20,21,"[  0.          38.97067261  84.95263672 132.76643372 178.87428284
 224.75231934 268.83334351 310.82510376 351.37915039 391.03036499
 429.67471313 467.46682739 504.55340576 540.82830811 576.95123291
 613.4487915  650.17175293 685.79309082 719.00976562 749.77154541
 778.46179199]","[  0.          18.2455864   36.49117279  54.73675919  72.98234558
  91.22792816 109.47351837 127.71910095 145.96469116 164.21026611
 182.45585632 200.70144653 218.94703674 237.19261169 255.4382019
 273.68377686 291.92938232 310.17495728 328.42053223 346.66610718
 364.91171265]","[31.782982 27.83315  30.671993 30.68211  26.624111 26.261616 25.917492
 25.337692 24.77561  24.859026 23.252012 23.248663 23.31092  22.233858
 21.174181 20.0632   20.873419 20.829908 20.530243]","[0.         0.         0.         0.         0.         0.
 0.         0.02797645 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01978234
 0.02797645]",False,00173,images/creativity/left/00173.jpg,images/creativity/right/00173.jpg,1000,2.058914349547864,2.308549099293355,4.367463448841219,3,3,3,3
644.9462890625,403.6959228515625,1.5976041682730702,15.858297348022461,17.395021438598633,301.3076477050781,1.1870023012161255,0.01543899904936552,0.02797645330429077,0.2933409810066223,20,21,"[  0.          24.92591476  50.89183426  78.14811707 106.65092468
 136.23156738 166.69281006 197.80867004 229.68315125 262.35119629
 295.76394653 329.91134644 364.87518311 400.60919189 436.88964844
 473.43566895 509.86499023 545.61755371 580.24475098 613.38360596
 644.94628906]","[  0.          20.18479347  40.36958694  60.55438232  80.73917389
 100.92396545 121.10876465 141.29354858 161.47834778 181.66313171
 201.84793091 222.0327301  242.2175293  262.40231323 282.58709717
 302.77191162 322.95672607 343.14154053 363.32632446 383.5111084
 403.69592285]","[14.078526 14.042961 13.900569 14.309872 14.596636 15.845391 16.115946
 16.1907   16.431753 16.998486 17.395021 17.338545 17.252254 17.214422
 16.833405 16.496546 15.93822  15.254716 15.073626]","[0.         0.01978234 0.01978234 0.         0.         0.02797645
 0.01978234 0.01978234 0.02797645 0.01978234 0.01978234 0.01978234
 0.01978234 0.01978234 0.         0.01978234 0.01978234 0.
 0.01978234]",False,00436,images/creativity/left/00436.jpg,images/creativity/right/00436.jpg,1000,-0.6255150382886902,-0.6665235615586174,-1.2920385998473076,36,35,34,34
592.0346069335938,367.3232116699219,1.611753867233412,16.472248077392578,18.75708770751953,312.97271728515625,1.740393042564392,0.010411757975816727,0.03956468030810356,0.1978234052658081,20,21,"[  0.          22.74726677  46.51112366  71.35381317  97.24710083
 124.12983704 151.98956299 180.62995911 209.71601868 239.15992737
 269.02398682 299.27896118 330.12463379 361.87792969 394.57095337
 428.27697754 462.57400513 496.50415039 529.46386719 561.18280029
 592.0345459 ]","[  0.          18.36616135  36.73232269  55.09848785  73.46465302
  91.83081055 110.19697571 128.56312561 146.92929077 165.29544067
 183.66160583 202.027771   220.39393616 238.7600708  257.1262207
 275.49240112 293.85858154 312.22473145 330.59088135 348.95703125
 367.32321167]","[13.65843  13.595811 14.121603 14.582197 14.949754 14.707844 15.09053
 16.332561 16.706972 17.156816 18.146688 18.443668 18.757088 18.601887
 17.329422 16.92871  17.703835 17.68869  18.470215]","[0.         0.01978234 0.03956468 0.03956468 0.         0.
 0.01978234 0.01978234 0.01978234 0.         0.         0.
 0.         0.01978234 0.01978234 0.         0.         0.
 0.        ]",False,00478,images/creativity/left/00478.jpg,images/creativity/right/00478.jpg,1000,-0.5546077928553169,-0.4611167387428603,-1.015724531598177,28,33,27,27
613.46337890625,376.3815612792969,1.6298975348875413,16.95066261291504,20.17108154296875,322.0625915527344,1.7891125679016113,0.003123527392745018,0.01978234015405178,0.05934701859951019,20,21,"[  0.          27.48301888  56.5146637   86.85144806 118.23744965
 150.48605347 183.31542969 216.15589905 248.67936707 280.85269165
 312.68200684 344.55148315 376.65722656 408.83242798 440.77456665
 472.24517822 502.97134399 532.77600098 561.29449463 588.14886475
 613.46337891]","[  0.          18.81907654  37.63815308  56.45722961  75.27630615
  94.09538269 112.91445923 131.73353577 150.5526123  169.37168884
 188.19076538 207.00984192 225.82891846 244.64797974 263.46707153
 282.28616333 301.10525513 319.92434692 338.7434082  357.5625
 376.3815918 ]","[14.941622  14.7980175 15.326045  16.094412  16.716068  17.639574
 19.101889  19.33768   19.95996   20.171082  19.017     17.690567
 17.188313  16.831247  16.270304  15.561059  14.523428  14.815376
 16.078943 ]","[0.01978234 0.         0.         0.         0.         0.
 0.         0.01978234 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01978234
 0.        ]",False,00482,images/creativity/left/00482.jpg,images/creativity/right/00482.jpg,1000,-0.4636858941620159,-0.30105567027346614,-0.764741564435482,22,26,19,19
556.9743041992188,367.9039611816406,1.5139122242944016,15.280000686645508,17.02801513671875,290.32000732421875,1.312337040901184,0.006730266381055117,0.03426402062177658,0.12787505984306335,20,21,"[  0.          22.86658478  46.78879547  71.90403748  98.20582581
 125.42754364 153.24743652 181.42980957 209.78129578 238.2795105
 266.99560547 295.96188354 325.11834717 354.45547485 384.09976196
 414.04122925 444.02697754 473.59796143 502.33139038 530.05377197
 556.9743042 ]","[  0.          18.39520073  36.79040146  55.18560028  73.58080292
  91.97599792 110.37120056 128.76638794 147.16159058 165.55677795
 183.95198059 202.34718323 220.74238586 239.13757324 257.53277588
 275.92797852 294.32318115 312.71838379 331.11355591 349.50875854
 367.90396118]","[14.179827 13.824383 13.315343 13.312287 14.22633  15.218577 16.030489
 16.75793  17.028015 16.958033 16.762112 16.89368  16.848211 16.207262
 15.374938 14.406244 13.993646 14.228997 14.753682]","[0.03426402 0.01978234 0.01978234 0.03426402 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01978234 0.
 0.        ]",False,00666,images/creativity/left/00666.jpg,images/creativity/right/00666.jpg,1000,-1.0449137286158956,-0.8600017580586333,-1.904915486674529,42,42,42,42
661.1808471679688,406.4944763183594,1.6265432513531708,16.00570297241211,18.9639892578125,304.1083679199219,2.0373332500457764,0.0020823515951633453,0.01978234015405178,0.03956468030810356,20,21,"[  0.          26.40894508  54.31108093  83.85118103 115.02085876
 147.65473938 181.5133667  216.23045349 251.46446228 286.86380005
 322.09350586 357.07019043 392.01153564 426.9876709  462.02865601
 497.05007935 531.73822021 565.82720947 598.95141602 630.75311279
 661.18084717]","[  0.          20.32472038  40.64944458  60.97416687  81.29888916
 101.62361145 121.94833374 142.27304077 162.59776306 182.92248535
 203.24720764 223.57192993 243.89665222 264.22134399 284.54608154
 304.87081909 325.19555664 345.52029419 365.84500122 386.16973877
 406.49447632]","[12.402127 12.805244 13.127502 13.870101 14.585059 15.391712 16.159132
 16.83904  17.626114 18.622442 18.96399  18.925932 18.644087 17.805712
 16.757044 16.082754 15.147041 15.032836 15.320501]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01978234 0.01978234
 0.        ]",False,00681,images/creativity/left/00681.jpg,images/creativity/right/00681.jpg,1000,-0.4804949447638237,-0.6172067035069714,-1.097701648270795,32,27,31,31
604.0012817382812,378.74725341796875,1.5947344206130312,15.4236478805542,18.747028350830078,293.04931640625,2.0255990028381348,0.0,0.0,0.0,20,21,"[  0.          23.69678879  48.53753662  74.70040894 102.20905304
 130.92871094 160.64767456 191.05107117 221.85684204 252.87400818
 283.92160034 315.09933472 346.82879639 379.41799927 412.8480835
 446.71655273 480.30667114 513.1071167  544.67883301 574.88739014
 604.0012207 ]","[  0.          18.93736076  37.87472153  56.81208038  75.74944305
  94.6867981  113.62416077 132.56152344 151.49888611 170.43624878
 189.37361145 208.31097412 227.24833679 246.1856842  265.12304688
 284.0604248  302.99780273 321.93518066 340.87252808 359.80987549
 378.74725342]","[12.069848 12.221709 12.302526 12.808865 13.697828 14.533965 15.651253
 16.323584 17.246992 18.47155  18.747028 18.011408 17.144773 16.418589
 16.157352 15.810671 15.038852 15.194086 15.198425]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01028,images/creativity/left/01028.jpg,images/creativity/right/01028.jpg,1000,-0.6398959733342028,-0.8119423417314386,-1.4518383150656415,37,36,41,41
576.4321899414062,374.5926818847656,1.5388239488317919,15.7417631149292,18.283233642578125,299.093505859375,1.673043966293335,0.003123527392745018,0.03956468030810356,0.05934701859951019,20,21,"[  0.          27.44986534  55.82648849  85.13270569 115.18177032
 145.75547791 176.62051392 207.53890991 238.40275574 268.96960449
 299.22918701 329.28845215 359.07946777 388.60916138 417.82403564
 446.53063965 474.56848145 501.75054932 527.80895996 552.65826416
 576.43218994]","[  0.          18.72963333  37.45926666  56.18889999  74.91853333
  93.64816284 112.37779999 131.10742188 149.83706665 168.56669617
 187.29632568 206.0259552  224.75558472 243.48519897 262.21484375
 280.94448853 299.6741333  318.40377808 337.13339233 355.86303711
 374.59268188]","[15.71881  15.117096 15.211498 15.614654 16.038141 16.930601 17.364996
 17.748354 18.283234 17.669504 17.220987 16.97864  16.244932 15.573251
 15.090385 13.999886 12.985205 12.68876  12.614587]","[0.         0.         0.         0.03956468 0.01978234 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",False,01208,images/creativity/left/01208.jpg,images/creativity/right/01208.jpg,1000,-0.9200756122084605,-0.705511912616553,-1.6255875248250136,40,41,36,36
653.8504638671875,371.5328063964844,1.7598727558110319,18.404895782470703,19.86003875732422,349.6930236816406,0.9160599112510681,0.0,0.0,0.0,20,21,"[  0.          30.5300293   62.80360413  96.72509766 131.70578003
 166.82382202 201.44668579 235.41400146 268.83074951 301.74719238
 334.4956665  367.33459473 400.20825195 433.087677   465.99267578
 498.88970947 531.44683838 563.4276123  594.65936279 624.82019043
 653.85040283]","[  0.          18.57664108  37.15328217  55.72992325  74.30656433
  92.8832016  111.4598465  130.03648376 148.61312866 167.1897583
 185.7664032  204.3430481  222.91969299 241.49632263 260.07296753
 278.64962769 297.22628784 315.80291748 334.37954712 352.95617676
 371.53283691]","[18.607956 18.63806  18.822834 19.13488  19.56388  19.860039 19.488527
 19.367476 19.441711 18.764202 18.209665 18.08722  17.96226  17.808203
 17.370363 17.492414 17.044067 16.835775 17.193478]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01271,images/creativity/left/01271.jpg,images/creativity/right/01271.jpg,1000,0.1876484498483832,0.18548079055650638,0.3731292404048896,12,13,12,12
703.7431640625,366.56298828125,1.919842391514291,21.849960327148438,23.829463958740234,415.1492614746094,1.3004544973373413,0.0010411757975816727,0.01978234015405178,0.01978234015405178,20,21,"[  0.          30.65102768  64.57911682 100.76527405 137.79550171
 175.59277344 213.77261353 251.04780579 287.21948242 322.52310181
 357.16940308 391.70071411 426.39657593 461.7651062  498.03137207
 534.47607422 570.5914917  605.87677002 639.88433838 672.43463135
 703.7432251 ]","[  0.          18.3281498   36.65629959  54.98445129  73.31259918
  91.64074707 109.96890259 128.29704285 146.62519836 164.95333862
 183.28149414 201.60964966 219.93780518 238.26593018 256.59408569
 274.92224121 293.25039673 311.57855225 329.90667725 348.23483276
 366.56298828]","[21.07494  19.187777 21.070732 23.027555 22.148838 22.76188  23.829464
 23.529066 23.09825  23.067719 22.872887 23.426184 21.5867   21.253836
 21.05974  20.332264 20.413637 20.406038 21.001776]","[0.         0.         0.         0.         0.         0.
 0.         0.01978234 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",False,01547,images/creativity/left/01547.jpg,images/creativity/right/01547.jpg,1000,0.9892913860331047,1.3380810378816772,2.327372423914782,7,7,6,6
661.7516479492188,387.4106140136719,1.708140210959386,17.891090393066406,19.49172019958496,339.93072509765625,1.2630728483200073,0.0,0.0,0.0,20,21,"[  0.          28.52689743  58.66576385  90.32466888 123.21911621
 156.86103821 190.87942505 225.00071716 259.03552246 292.91091919
 326.65319824 360.33688354 393.97109985 427.597229   461.37277222
 495.52804565 530.16394043 564.81994629 598.67718506 631.05633545
 661.75164795]","[  0.          19.37052917  38.74105835  58.11158752  77.4821167
  96.85264587 116.22317505 135.59368896 154.96421814 174.33473206
 193.70526123 213.07579041 232.44631958 251.8168335  271.18737793
 290.55792236 309.9284668  329.29901123 348.66952515 368.04006958
 387.41061401]","[16.370092 16.099783 16.119967 16.573404 17.14037  17.55714  18.32145
 19.055801 19.308504 19.068256 18.988388 19.299685 19.49172  19.401
 19.055813 18.08646  17.135351 16.30204  16.555555]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01577,images/creativity/left/01577.jpg,images/creativity/right/01577.jpg,1000,-0.071594680692398,0.013579158170749058,-0.05801552252164893,16,17,14,14
622.453369140625,377.9413146972656,1.6469577284484385,15.729301452636719,18.50033187866211,298.8567199707031,1.5920170545578003,0.021500572562217712,0.04423465579748154,0.40851086378097534,20,21,"[  0.          25.94064713  52.64517212  80.22238159 108.55499268
 137.50648499 166.93084717 196.71650696 226.61715698 256.35574341
 285.98779297 315.96514893 346.79721069 378.87277222 412.58837891
 448.14654541 484.77362061 521.11779785 556.23614502 589.94042969
 622.45336914]","[  0.          18.89706802  37.79413605  56.69120407  75.58827209
  94.4853363  113.38240814 132.27946472 151.17652893 170.07359314
 188.97065735 207.86772156 226.76478577 245.66183472 264.55889893
 283.45596313 302.35302734 321.25009155 340.14712524 359.04418945
 377.94125366]","[14.015166 13.639471 13.820051 13.972982 14.167386 14.232582 14.260544
 15.169571 16.687492 17.643562 17.788998 17.930407 18.500332 17.9442
 16.233244 15.26254  15.507119 16.018711 16.062365]","[0.03956468 0.03956468 0.03956468 0.04423466 0.03956468 0.01978234
 0.         0.         0.01978234 0.01978234 0.01978234 0.01978234
 0.02797645 0.01978234 0.         0.01978234 0.01978234 0.
 0.01978234]",False,01736,images/creativity/left/01736.jpg,images/creativity/right/01736.jpg,1000,-0.37819352182576604,-0.7096811567204364,-1.0878746785462026,31,20,37,37
591.4213256835938,382.62274169921875,1.545703538313236,14.84476375579834,17.272441864013672,282.0505065917969,1.6890422105789185,0.02991381846368313,0.048456642776727676,0.5683625340461731,20,21,"[  0.          22.46769714  45.80141449  70.17869568  95.62342834
 122.03768921 149.29147339 177.33934021 206.29692078 236.19000244
 266.97052002 298.56304932 330.81594849 363.51715088 396.37426758
 429.29190063 462.4296875  495.71685791 528.65216064 560.61828613
 591.42132568]","[  0.          19.13113976  38.26228333  57.39342499  76.52456665
  95.65570831 114.78684998 133.91798401 153.0491333  172.18026733
 191.31141663 210.44256592 229.57371521 248.70483398 267.83596802
 286.96710205 306.09823608 325.22937012 344.36050415 363.49163818
 382.62277222]","[12.026114 12.111016 12.270702 12.582804 13.06876  13.895451 14.347543
 14.523782 15.05724  15.317993 15.732734 16.02397  16.430197 17.159431
 17.272442 16.49651  15.718885 15.668965 16.345987]","[0.04423466 0.04845664 0.04845664 0.04845664 0.03956468 0.01978234
 0.01978234 0.02797645 0.03426402 0.03956468 0.01978234 0.01978234
 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234
 0.03956468]",False,01879,images/creativity/left/01879.jpg,images/creativity/right/01879.jpg,1000,-0.8856004801785256,-1.005617083296733,-1.8912175634752586,41,40,43,43
